Method,Resolution,Seed,Number of Clusters,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Score,Modularity Score
Recon_PARE,1.2,8,23,0.09169286489486694,26621.574624910598,1.880977298601908,0.8047198057174683
Recon_PARE,1.2,9,24,0.0934550017118454,24920.62668520612,1.8486566385358894,0.8034729361534119
scFoundation,1.5,0,24,0.057123951613903046,5574.010867727611,2.6154539286779857,0.7241204977035522
scFoundation,1.5,1,30,0.05224185064435005,4787.868012554232,2.6021539412744303,0.7201143503189087
scFoundation,1.5,2,24,0.05099806189537048,5577.65788626497,2.602557864278538,0.7245104312896729
scFoundation,1.5,3,26,0.05737133324146271,5290.799284131998,2.7039951583008186,0.7218000888824463
scFoundation,1.5,4,28,0.04690166935324669,4905.575785708021,2.661045159325082,0.7208563089370728
scFoundation,1.5,5,26,0.04519468918442726,5217.814636639751,2.6714079535699216,0.7230249643325806
scFoundation,1.5,6,27,0.04603703320026398,5126.7512607927,2.607960498100561,0.7223567366600037
scFoundation,1.5,7,25,0.05541626736521721,5440.065332658257,2.720651536710049,0.7242321968078613
scFoundation,1.5,8,25,0.04142102599143982,5409.2874180932085,2.7408394534799077,0.7213273048400879
scFoundation,1.5,9,28,0.04609065502882004,4971.062370275253,2.6286659089751994,0.7226715087890625
Recon_PARE,1.5,0,28,0.09594444930553436,23140.36006538387,1.8692289177674628,0.800133466720581
Recon_PARE,1.5,1,28,0.1017870232462883,23665.836498916608,1.8855798536993693,0.7996705770492554
Recon_PARE,1.5,2,28,0.10349684953689575,23653.986219846553,1.9088243167424739,0.7979354858398438
Recon_PARE,1.5,3,27,0.10582558810710907,24430.744218170068,1.8898265749670673,0.7988395094871521
Recon_PARE,1.5,4,29,0.11198561638593674,24004.53672572102,1.9233367423954315,0.7974323034286499
Recon_PARE,1.5,5,29,0.098777174949646,23911.525982883024,1.9112045127727466,0.7977281808853149
Recon_PARE,1.5,6,27,0.10138946771621704,24188.3575821986,1.9133964246282877,0.799588680267334
Recon_PARE,1.5,7,26,0.11663894355297089,25414.59239710282,1.895521917213441,0.7987903356552124
Recon_PARE,1.5,8,27,0.09192733466625214,23951.604874739474,1.8786426019341846,0.7978807091712952
Recon_PARE,1.5,9,29,0.09860381484031677,22748.05286859148,1.9459057290525978,0.7947800159454346
